 3200  1.0000E-01
   i   x             den           ener          pres          vel           cs
  167  4.162500E-01  2.296902E-05  5.515004E+06  8.444950E+01  9.990000E-01  2.475436E+03
  168  4.187500E-01  2.359637E-05  5.368380E+06  8.444950E+01  1.005000E+00  2.442308E+03
  169  4.212500E-01  2.423695E-05  5.226492E+06  8.444950E+01  1.011000E+00  2.409816E+03
  170  4.237500E-01  2.489099E-05  5.089162E+06  8.444951E+01  1.017000E+00  2.377945E+03
  171  4.262500E-01  2.555867E-05  4.956215E+06  8.444951E+01  1.023000E+00  2.346680E+03
  172  4.287500E-01  2.624019E-05  4.827489E+06  8.444951E+01  1.029000E+00  2.316005E+03
  173  4.312500E-01  2.693577E-05  4.702826E+06  8.444951E+01  1.035000E+00  2.285905E+03
  174  4.337500E-01  2.764561E-05  4.582076E+06  8.444951E+01  1.041000E+00  2.256368E+03
  175  4.362500E-01  2.836991E-05  4.465092E+06  8.444951E+01  1.047000E+00  2.227378E+03
  176  4.387500E-01  2.910888E-05  4.351739E+06  8.444951E+01  1.053000E+00  2.198924E+03
  177  4.412500E-01  2.986274E-05  4.241883E+06  8.444951E+01  1.059000E+00  2.170991E+03
  178  4.437500E-01  3.063170E-05  4.135398E+06  8.444951E+01  1.065000E+00  2.143569E+03
  179  4.462500E-01  3.141597E-05  4.032161E+06  8.444951E+01  1.071000E+00  2.116643E+03
  180  4.487500E-01  3.221577E-05  3.932058E+06  8.444951E+01  1.077000E+00  2.090204E+03
  181  4.512500E-01  3.303132E-05  3.834974E+06  8.444951E+01  1.083000E+00  2.064239E+03
  182  4.537500E-01  3.386284E-05  3.740805E+06  8.444951E+01  1.089000E+00  2.038737E+03
  183  4.562500E-01  3.471054E-05  3.649446E+06  8.444951E+01  1.095000E+00  2.013688E+03
  184  4.587500E-01  3.557467E-05  3.560800E+06  8.444951E+01  1.101000E+00  1.989081E+03
  185  4.612500E-01  3.645543E-05  3.474771E+06  8.444951E+01  1.107000E+00  1.964906E+03
  186  4.637500E-01  3.735306E-05  3.391269E+06  8.444952E+01  1.113000E+00  1.941154E+03
